SpeciesCode,FunctionalGroupIndex,NitrogenFixer,GDDMinimum,GDDMaximum,MinJanuaryT,MaxDrought,LeafLongevity,Epicormic,LeafLignin,FineRootLignin,WoodLignin,CoarseRootLignin,LeafCN,FineRootCN,WoodCN,CoarseRootCN,FoliageLitterCN,MaximumANPP,MaximumBiomass,KMMaxDrought,KMMaximumANPP
AcerRubr,3,FALSE,1360.7,6493.2,-20,0.837,1,FALSE,0.263,0.225,0.3104,0.204,63.75,45,500,90,65,745,22400,0.372,745
AcerSacc,3,FALSE,1334.9,4177.35,-18,0.837,1,TRUE,0.175,0.334,0.125,0.312,63.75,45,500,90,65,745,22400,0.072,745
BetuLent,3,FALSE,1649.98,3578.13,-18,0.45,1,TRUE,0.219,0.27,0.2018,0.251,63.75,45,500,90,65,580,22400,0.2,580
CaryAlba,2,FALSE,2232.16,5310.4,-7,0.45,1,FALSE,0.187,0.27,0.2,0.251,22.95,25,100,49,43,373,21000,0.2,373
CaryGlab,2,FALSE,1977.12,6960,-7,0.45,1,TRUE,0.187,0.24,0.2,0.251,22.95,25,100,118,43,373,21000,0.2,373
CornFlor,3,FALSE,2443.75,5295.9,-4,0.5625,1,TRUE,0.172,0.255,0.255,0.255,63.75,45,350,90,45,381,10500,0.25,381
FaguGran,3,FALSE,1387.8,5112.6,-12,0.63,1,FALSE,0.172,0.255,0.255,0.255,63.75,45,350,90,45,580,14000,0.28,580
FraxAmer,2,FALSE,1456.94,5112.6,-12,0.63,1,FALSE,0.114,0.27,0.2018,0.251,29.75,26,189,50,65,248,10500,0.28,248
HaleDipt,3,FALSE,1910,6960,-2,0.675,1,FALSE,0.336,0.255,0.255,0.255,22.95,45,90,50,30,166,10500,0.3,166
LiriTuli,3,FALSE,2295.39,6000,-7,0.837,1,TRUE,0.331,0.255,0.255,0.255,76.5,45,500,90,65,787,22400,0.3,787
MagnAcum,3,FALSE,1849.8,4987.6,-2,0.36,1,TRUE,0.293,0.23,0.23,0.23,63.75,48,500,333,55,580,10500,0.16,580
MagnMacr,3,FALSE,1850.51,5993,-2,0.36,1,TRUE,0.293,0.23,0.23,0.23,63.75,48,500,333,55,580,10500,0.16,580
NyssSylv,3,FALSE,1910,6960,-2,0.67725,1,TRUE,0.172,0.255,0.255,0.255,63.75,45,90,90,45,497,14000,0.301,497
OxydArbo,2,FALSE,2146.02,4993.49,-2,0.675,1,TRUE,0.336,0.255,0.255,0.255,32.3,45,90,90,55,248,14000,0.3,248
PinuEnch,1,FALSE,2848.4,5378.22,-1,0.86625,2,TRUE,0.255,0.2,0.35,0.35,63.75,50,346,170,100,621,22400,0.385,621
PinuPung,1,FALSE,1858.5,3463.25,-7,0.69075,3,TRUE,0.255,0.2,0.35,0.35,63.75,50,380,170,100,662,22400,0.307,662
PinuRigi,1,FALSE,1921.9,3695.14,-7,0.69075,3,TRUE,0.255,0.2,0.35,0.35,63.75,50,380,170,100,662,22400,0.307,662
PinuStro,1,FALSE,1428,4044.54,-3,0.5085,2,FALSE,0.263,0.225,0.3104,0.204,63.75,43,398,170,100,662,22400,0.226,662
PinuVirg,1,FALSE,1910,4638.61,-7,0.64125,1,FALSE,0.251,0.23,0.23,0.23,63.75,48,380,170,100,662,22400,0.285,662
PrunSero,2,FALSE,1534.72,5993,-10,0.675,1,TRUE,0.175,0.27,0.2,0.251,22.95,25,108,49,65,248,14000,0.3,248
QuerAlba,2,FALSE,1721,5537,-12,0.7425,1,TRUE,0.175,0.27,0.2,0.251,22.95,25,100,50,30,331,22400,0.33,331
QuerCocc,2,FALSE,1972.44,4571,-7,0.6435,1,TRUE,0.262,0.23,0.23,0.23,22.95,25,100,50,30,331,22400,0.286,331
QuerFalc,2,FALSE,2660,5993,2,0.95175,1,FALSE,0.293,0.23,0.23,0.23,12.75,25,100,50,30,248,22400,0.423,248
QuerPrin,2,FALSE,1260,6600,-18,0.5175,1,FALSE,0.183,0.334,0.125,0.312,22.95,25,100,50,30,331,22400,0.23,331
QuerRubr,2,FALSE,1100,4571,-17,0.50625,1,TRUE,0.249,0.334,0.225,0.303,22.95,25,100,50,30,331,22400,0.225,331
QuerVelu,2,FALSE,1810,5076,-10,0.675,1,TRUE,0.336,0.255,0.255,0.255,22.95,25,100,50,30,414,22400,0.3,414
RobiPseu,2,TRUE,1910,4895.91,-2,0.675,1,FALSE,0.336,0.255,0.255,0.255,32.3,45,90,90,55,248,14000,0.3,248
SassAlid,2,FALSE,1910,6489.66,-2,0.675,1,TRUE,0.336,0.255,0.255,0.255,12.75,25,50,25,25,124,14000,0.3,124
TiliAmer,3,FALSE,1535.46,4976.08,-17,0.45,1,TRUE,0.17,0.334,0.2,0.31,63.75,26,417,50,35,497,10500,0.2,497
TiliAmhe,3,FALSE,2172.28,5025.88,-17,0.45,1,TRUE,0.17,0.334,0.2,0.31,63.75,26,417,50,35,497,10500,0.2,497
